,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
295,30,18.191974595842957,35,25,44.5,31208.0,19,943,89,Team Liquid,58793.0,13.504618937644342,19.03002309468822,1413.0,2093
296,28,42.0,32,37,44.2,66608.0,12,1103,99,Nigma Galaxy,70739.0,20.0,33.0,2242.0,2185
297,62,20.0,14,62,44.2,103368.0,32,1690,126,Team Secret,125809.0,20.0,32.0,30847.0,3355
298,92,37.0,14,35,44.2,108330.0,33,1018,114,Evil Geniuses,95494.0,19.0,31.0,25133.0,2743
299,37,19.0,34,56,44.2,101418.0,12,1203,104,Royal Never Give Up,76548.0,19.0,19.0,5301.0,2354
300,21,32.0,42,25,30.36,74747.0,11,655,70,Team Liquid,33086.0,14.0,16.0,1619.0,1644
301,91,19.0,11,30,30.36,85322.0,42,699,101,Team Spirit,66958.0,15.0,17.0,15186.0,3075
302,22,18.191974595842957,46,29,49.41,43328.0,15,1217,92,Team Secret,61848.0,13.504618937644342,19.03002309468822,4378.0,1956
303,93,18.191974595842957,15,45,49.41,72152.0,46,1024,109,Evil Geniuses,100464.0,13.504618937644342,19.03002309468822,12979.0,2635
304,52,12.0,16,32,29.38,97683.0,27,840,100,Tundra Esports,67363.0,15.0,22.0,15857.0,3224
305,31,50.0,28,33,29.38,65707.0,16,826,82,OG,50262.0,14.0,20.0,5848.0,2351
306,27,7.0,25,46,27.57,57372.0,13,573,72,Team Liquid,34937.0,13.0,15.0,2978.0,1855
307,65,21.0,13,17,27.57,81188.0,24,587,84,Nigma Galaxy,51804.0,12.0,10.0,11529.0,2449
308,69,30.0,13,23,27.46,79636.0,27,809,92,PSG.LGD,63804.0,13.0,25.0,10406.0,3002
309,30,8.0,27,22,27.46,49350.0,13,642,76,Team Liquid,42080.0,13.0,22.0,989.0,2206
310,69,10.0,38,65,31.15,105969.0,29,595,88,Nigma Galaxy,46892.0,13.0,15.0,3924.0,2543
311,93,15.0,29,43,31.15,147603.0,38,606,96,OG,51824.0,14.0,14.0,15255.0,2795
312,31,18.191974595842957,29,22,24.33,81486.7612757732,12,426,59,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1693
313,62,18.191974595842957,12,28,24.33,81486.7612757732,29,411,74,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2545
314,21,15.0,32,31,36.22,64767.0,11,802,84,Nigma Galaxy,46249.0,18.0,19.0,4738.0,1920
315,87,7.0,11,65,36.22,116983.0,32,874,106,Team Secret,78489.0,18.0,19.0,29826.0,2918
316,51,5.0,10,31,31.57,64583.0,25,937,100,Royal Never Give Up,73509.0,16.0,30.0,20258.0,3043
317,20,47.0,25,30,31.57,39740.0,10,994,86,Team Aster,56450.0,16.0,31.0,4268.0,2412
318,55,18.191974595842957,46,26,56.48,62726.0,28,1301,99,Team Liquid,71654.0,13.504618937644342,19.03002309468822,4647.0,1956
319,93,18.191974595842957,29,52,56.48,81114.0,45,1379,115,OG,113470.0,13.504618937644342,19.03002309468822,13642.0,2517
320,99,10.0,19,43,31.18,108155.0,42,652,98,OG,59224.0,15.0,22.0,9970.0,2902
321,28,9.0,42,23,31.18,82316.0,17,572,74,Nigma Galaxy,36198.0,13.0,19.0,1803.0,1840
322,23,6.0,29,38,29.18,57074.0,11,621,72,Team Secret,41850.0,14.0,11.0,5593.0,1798
323,68,12.0,11,62,29.18,72141.0,29,847,92,Evil Geniuses,59125.0,13.0,18.0,19004.0,2655
324,11,18.191974595842957,25,32,36.44,21324.0,6,704,67,Fnatic,45189.0,13.504618937644342,19.03002309468822,3472.0,1428
325,50,18.191974595842957,7,11,36.44,32899.0,25,874,85,Evil Geniuses,76754.0,13.504618937644342,19.03002309468822,6134.0,2227
